Annulation("Annulation", "Auramancie",1, 3, 5, "Le pj détruit une malédiction au hasard qui l'affecte"),
Plastron("Plastron", "Auramancie",1, 3, 15, "Le pj créé un bouclier psychique autour de ses alliés (Bouclier = SPI)" ),
Precision("Précision", "Auramancie",1, 3, 15, "Le pj créé une aura qui augmente le tir et la mélée des alliés proches (Bonus = SPI/2-10)" ),
Neurone("Neurone", "Auramancie",1, 3, 15, "Le pj créé une aura qui augmente le Cast des alliés proches (Bonus = SPI/2-10)" ),

Talent("Talent", "Auramancie",2, 3, 10, "Le pj créé une aura qui augmente les Compétences des alliés proches (Bonus = SPI/2-10)" ),
Reflexes("Réflexes", "Auramancie",2, 3, 15, "Le pj créé une aura qui augmente le reflexe des alliés proches (Bonus = SPI/2-10)" ),
ForceMentale("Force Mentale", "Auramancie",2, 3, 15, "Le pj créé une aura qui augmente la ForceMentale des alliés proches (Bonus = SPI/2-10)" ),

ChargeLegere("Charge Légère", "Auramancie",3, 3, 10, "Le pj créé une aura qui allège la charge des alliés proches Classe de charge -1" ),
GrandPas("Grand Pas", "Auramancie",3, 3, 20, "Le pj créé une aura qui augmente le déplacement des alliés proches de 1m/SPI/10" ),
PuissanceMagique("Puissance Magique", "Auramancie",3, 3, 25, "Le pj créé une aura qui donne des dégats magiques supplémentaires Bonus=(SPI-10)/3" ),
PuissancePhysique("Puissance Physique", "Auramancie",3, 3, 25, "Le pj créé une aura qui donne des dégats magiques supplémentaires Bonus=(SPI-10)/3" ),

DeplacementEclair("Deplacement éclair", "Auramancie",4, 3, 25, "Le pj créé une aura qui donne le don déplacement éclair aux alliés proches" ),
Blindage("Blindage", "Auramancie",4, 3, 25, "Le pj créé une aura qui augmente l'armure des alliés proches (Bonus = SPI) (l'armure additionnelle part en subissant des dégats)" ),
Barriere("Barrière", "Auramancie",4, 3, 25, "Le pj créé une aura qui augmente la défense Magique des alliés proches (Bonus = SPI) (l'armure additionnelle part en subissant des dégats)" ),

Plenitude("Plénitude", "Auramancie",5, 3, 30, "Le pj créé une aura qui augmente les PC des alliés proches de 1" ),
DeplacementAssassin("Déplacement Assassin", "Auramancie",5, 3, 30, "Le pj créé une aura qui donne le don déplacement assassin aux alliés proches" ),
Vitalite("Vitalité", "Auramancie",5, 3, 30, "Le pj créé une aura qui Augmente les pv max des alliés proches (Bonus = SPI)" ),
