Suppression("Suppression", "Malediction",1, 3, 5, "Le pj supprime une bénédiction au hasard qui affecte un ennemi" ),
Aveuglement("Aveuglement", "Malediction",1, 3, 15, "Le pj créé une malédiction qui diminue le tir et la mélée des ennemis proches (Malus = SPI/2-10)" ),
Stupidite("Stupidité", "Malediction",1, 3, 15, "Le pj créé une malédiction qui diminue le Cast des ennemis proches (Malus = SPI/2-10)" ),
Malchance("Malchance", "Malediction",1, 3, 15, "Le pj créé une malédiction qui empêche les ennemis de faire de coups critiques (crit->dégats normaux)" ),

Facilite("Facilité", "Malediction",2, 3, 10, "Le pj créé une malédiction qui diminue les Compétences des ennemis proches (Malus = SPI/2-10)" ),
Empotage("Empotage", "Malediction",2, 3, 15, "Le pj créé une malédiction qui diminue le reflexe des ennemis proches (Malus = SPI/2-10)" ),
FaiblesseDesprit("Faiblesse d'esprit", "Malediction",2, 3, 15, "Le pj créé une malédiction qui diminue la ForceMentale des ennemis proches (Malus = SPI/2-10)" ),

ChargeLourd("Charge Lourde", "Malediction",3, 3, 10, "Le pj créé une malédiction qui augmente la charge des ennemis proches Classe de charge +1" ),
PetitPas("Petit Pas", "Malediction",3, 3, 20, "Le pj créé une malédiction qui diminue le déplacement des ennemis proches de 1m/SPI/10" ),
FaiblesseMagique("PuissanceMagique", "Malediction",3, 3, 25, "Le pj créé une malédiction qui diminue les dégats magiques des ennemis proches Malus=(SPI-10)/3" ),
FaiblessePhysique("PuissancePhysique", "Malediction",3, 3, 25, "Le pj créé une malédiction qui diminue les dégats magiques des ennemis proches Malus=(SPI-10)/3" ),

CloueAuSol("Cloué au sol", "Malediction",4, 3, 25, "Le pj créé une malédiction qui augmente le coût des déplacement de 1pa" ),
AntiBlindage("Blindage", "Malediction",4, 3, 25, "Le pj créé une malédiction qui augmente la sensibilité des ennemis aux dégats Physiques (Dégats supp = SPI/2-10)" ),
AntiBarrière("Barriere", "Malediction",4, 3, 25, "Le pj créé une malédiction qui augmente la sensibilité des ennemis aux dégats magiques (Dégats supp = SPI/2-10 )" ),

Decadence("Décadence", "Malediction",5, 3, 30, "Le pj créé une malédiction qui diminue les PC des ennemis proches de 1" ),
Maladresse("Maladresse", "Malediction",5, 3, 10, "Le pj créé une malédiction qui fait échouer toute tentative de fuite (déclanchement automatique d'attaque d'opportunité)" ),
Malediction("Malédiction", "Malediction",5, 3, 50, "Le pj créé une malédiction qui diminue les pv max des ennemis proches (Malus = SPI)" ),
