d,LAS La FM du defenseur ne se fait pas uniquement par rapport a sa stats de FM mais aussi en fonction du jet de magie de l'asaillant (cf gameplay comparason de jet)
Suggestion Mentale,1L	2A	3S	influence la decision de la cible: portee 9m, +10 diplomatie,marchandage,.., comp +5, ccx2"),
Telekinesie I,1L	3A	4S	deplace un objet inanime par la pensee dans un rayon de 5m. duree: SPI min, poids: SPI/2 kg

control Mental I,2L	3A	6S	force quelqu'un a faire une action simple pendant moins de 6 secondes, comp:la cible ne s'en souvient pas, cc:aucune resistance possible
Telekinesie II,2L	3A	4S	deplace un objet inanime par la pensee dans un rayon de 10m. duree: SPI min, poids: SPI kg
Gifle Mentale,2L	3A	5S	portee: 18m, dgt: 1d8, comp 1d8, ccx3

control Mental II,3L	4A	12S	force quelqu'un a faire une action complexe pendant une minute max, comp:la cible ne s'en souvient pas, cc:aucune resistance possible
Telekinesie III,3L	3A	8S	deplace des choses vivantes et animees dans un rayon de 15m. duree: SPI min, poids: SPIx2 kg

control Mental III,4L	5XA	15XS	controle X personnes en meme temps, elles obeissent parfaitement tant que leur force mentale est plus faible (1jet/10min)
Telekinesie IV,4L	3A	12S	deplace plusieurs objets en meme temps dans un rayon de 30m. duree: SPI min, poids total: SPIx3 kg

torture mentale IV,5L	6A	12S	Inflige de lourds degats et peut rendre fou.portee: 9m, 2d10, comp: folie, cc x4
Telekinesie V,5L	3A	16S	deplace des objets dans un rayon de 100m, duree SPI, poids: SPIx5
