Compagnon,1L		500A	30S	Le pj Rend permanente une invocation ou un objet anime (il ne peux en controler qu'un)
Animation I,1L		5A	5S	Le pj anime un objet inanime de taille TP jusqu'a la fin de la journee. <Carac: SPI/4 +10 5PA, attaque en melee:1D4>
Agrandissement,1L	3A	5S	Le pj peut augmenter d'un la taille d'une cible et de tout ses equipements (SPImin)(vitax2)

Animation II,2L		5A	10S	Le pj anime un objet inanime de taille P jusqu'a la fin de la journee. <Carac: SPI/3 +10 6PA, attaque en melee:1D6>
Retrecissement,2L	3A	5S	Le pj peut diminuer d'un la taille d'une cible et de tout ses equipements (SPImin)(vita/2)

Animation III,3L	5A	20S	Le pj anime un objet inanime de taille M jusqu'a la fin de la journee. <Carac: SPI/2 +10 7PA, attaque en melee:1D8>
Metamorphose I,3L	2A	4S	Le pj peut greffer des branchies, des palmes, des ailes,... sur une cible consentante(SPI min)

Animation IV,4L		5A	30S	Le pj anime un objet inanime de taille G jusqu'a la fin de la journee. <Carac: SPI/2 +20 8PA, attaque en melee:1D10>
Transmutation,4L	4A	6S	Le pj Augmente l'armure naturelle de la cible avec des ecailles/peau de pierre (Armure +SPI, SPI min)

Animation V,5L		5A	40S	Le pj anime un objet inanime de taille TG jusqu'a la fin de la journee. <Carac: SPI/2 +30 9PA, attaque en melee:2D6>
Metamorphose II,5L	0A	0S	Agrandissement et retrecissement deviennent 2 fois plus puissants (x4 et /4) et toutes les modification peuvent etre lance sur tout le monde
